Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
roadway,50036175,no,yes,2020/10/16,,,8,A,Brooklyn,10H,Proper sanitization not provided for utensil ware washing operation.,Spanish
sidewalk,50066295,yes,no,2020/11/5,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Coffee/Tea
sidewalk,41013755,yes,no,2020/9/22,,,11,A,Manhattan,10D,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",American
sidewalk,41584296,yes,no,2020/7/1,,,10,A,Brooklyn,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Irish
both,50086669,yes,yes,2020/10/18,,,12,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Coffee/Tea
both,50085247,yes,yes,2020/11/30,,,11,A,Brooklyn,09B,Thawing procedures improper.,Thai
roadway,50050375,no,yes,2020/7/5,,,26,B,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Indian
both,50017936,yes,yes,2020/10/21,,,10,A,Brooklyn,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",American
both,50105069,yes,yes,2020/9/25,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50069682,yes,no,2020/10/5,,,12,A,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,American
roadway,50073759,no,yes,2021/1/4,,,11,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Pizza
roadway,41538850,no,yes,2020/8/30,,,9,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",American
both,50105216,yes,yes,2021/1/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
openstreets,41246255,no,no,2020/7/16,,,12,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Seafood
sidewalk,50053142,yes,no,2020/6/22,,,10,A,Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
sidewalk,41304667,yes,no,2020/7/6,,,7,A,Brooklyn,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Mexican
sidewalk,50059998,yes,no,2020/9/24,,,0,A,Queens,0,0,Bakery Products/Desserts
both,50069905,yes,yes,2020/9/3,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Asian/Asian Fusion
sidewalk,50105245,yes,no,2020/7/8,,,13,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Other
openstreets,50089893,no,no,2020/9/3,,,10,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Soul Food
both,41454384,yes,yes,2020/9/30,,,12,A,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Korean
both,50105762,yes,yes,2020/10/27,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50036711,yes,yes,2020/8/11,,,20,B,Brooklyn,06F,Wiping cloths soiled or not stored in sanitizing solution.,Mexican
both,41474503,yes,yes,2020/10/23,,,11,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Hamburgers
both,50093334,yes,yes,2020/6/30,,,9,A,Queens,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Korean
roadway,50078597,no,yes,2020/7/20,,,12,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Coffee/Tea
both,50061387,yes,yes,2020/10/14,,,20,B,Brooklyn,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Caribbean
openstreets,50095024,no,no,2020/8/5,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41319437,yes,yes,2020/7/17,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Italian
sidewalk,41407362,yes,no,2020/6/19,,,13,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Asian/Asian Fusion
sidewalk,50060883,yes,no,2020/12/14,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Spanish
both,41628876,yes,yes,2020/6/24,,,13,A,Manhattan,04A,Food Protection Certificate not held by supervisor of food operations.,American
roadway,41254923,no,yes,2020/6/20,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mediterranean
both,50012131,yes,yes,2020/6/28,,,12,A,Bronx,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Latin American
both,50066826,yes,yes,2020/10/8,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50082809,yes,yes,2020/7/2,,,11,A,Queens,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",American
both,50105345,yes,yes,2021/1/11,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41256599,yes,no,2020/6/19,,,8,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
openstreets,50017938,no,no,2020/10/19,,,11,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Italian
sidewalk,50035721,yes,no,2020/9/16,,,9,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Salads
roadway,50089431,no,yes,2020/6/23,,,4,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
sidewalk,50044147,yes,no,2021/1/8,,,12,A,Brooklyn,02B,Hot food item not held at or above 140º F.,Eastern European
both,50099929,yes,yes,2020/9/1,,,10,A,Manhattan,04A,Food Protection Certificate not held by supervisor of food operations.,Coffee/Tea
roadway,50106195,no,yes,2020/12/14,,,2,A,Queens,10J,Hand wash sign not posted,Southwestern
both,41381168,yes,yes,2020/7/9,,,12,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Pizza
sidewalk,50004133,yes,no,2020/7/16,,,22,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Brazilian
both,50102669,yes,yes,2020/7/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40920280,yes,yes,2020/11/10,,,11,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
sidewalk,40943174,yes,no,2020/9/8,,,11,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mediterranean
both,41720461,yes,yes,2020/7/31,,,12,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Spanish
both,50036088,yes,yes,2020/7/3,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41206802,yes,yes,2020/9/18,,,10,A,Bronx,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Bakery Products/Desserts
roadway,50016888,no,yes,2021/3/9,,,9,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Tex-Mex
sidewalk,50069376,yes,no,2020/9/2,,,42,C,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Chinese
both,41240850,yes,yes,2020/7/28,,,9,A,Brooklyn,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Latin American
both,50100945,yes,yes,2020/9/28,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105486,yes,yes,2020/10/30,,,13,A,Brooklyn,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Chinese
roadway,50079095,no,yes,2021/2/5,,,12,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Barbecue
both,41456771,yes,yes,2020/7/2,,,32,C,Queens,09B,Thawing procedures improper.,Mexican
both,50084485,yes,yes,2020/11/12,,,9,A,Bronx,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
roadway,50083922,no,yes,2021/1/15,,,13,A,Staten Island,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Spanish
both,50034676,yes,yes,2020/6/19,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Afghan
both,40386570,yes,yes,2020/7/19,,,7,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,American
sidewalk,50067646,yes,no,2020/7/1,,,21,B,Manhattan,04M,Live roaches present in facility's food and/or non-food areas.,Sandwiches
both,50000976,yes,yes,2020/6/22,,,9,A,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Mexican
openstreets,50099170,no,no,2020/8/8,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50103816,yes,yes,2020/12/1,,,9,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Continental
roadway,50085870,no,yes,2020/10/27,,,12,A,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Italian
both,40367232,yes,yes,2020/6/30,,,12,A,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Irish
sidewalk,40567533,yes,no,2020/6/29,,,12,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
openstreets,50100328,no,no,2020/8/1,,,2,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mexican
both,50085068,yes,yes,2021/1/5,,,10,A,Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Latin American
roadway,50087619,no,yes,2020/10/8,,,7,A,Manhattan,02B,Hot food item not held at or above 140º F.,Pizza
openstreets,50069729,no,no,2020/7/16,,,10,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",American
sidewalk,50032827,yes,no,2020/7/9,,,11,A,Manhattan,09C,Food contact surface not properly maintained.,American
both,50106493,yes,yes,2020/11/21,,,13,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mexican
both,40388818,yes,yes,2020/10/24,,,9,A,Manhattan,02B,Hot food item not held at or above 140º F.,Japanese
roadway,50061298,no,yes,2020/7/9,,,12,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Japanese
both,42093236,yes,yes,2020/7/21,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40385161,yes,yes,2020/7/12,,,12,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
roadway,50059975,no,yes,2020/10/26,,,32,C,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Chinese
both,50091780,yes,yes,2020/7/25,,,13,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Seafood
both,50046301,yes,yes,2020/9/29,,,2,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Sandwiches/Salads/Mixed Buffet
sidewalk,41165717,yes,no,2020/11/9,,,12,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Latin American
sidewalk,41081933,yes,no,2020/9/15,,,22,B,Bronx,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Coffee/Tea
openstreets,50087281,no,no,2020/8/6,,,9,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Asian/Asian Fusion
both,50079664,yes,yes,2020/7/18,,,12,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Asian/Asian Fusion
sidewalk,40388818,yes,no,2020/7/23,,,9,A,Manhattan,02B,Hot food item not held at or above 140º F.,Japanese
both,50081021,yes,yes,2020/9/8,,,21,B,Manhattan,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Asian/Asian Fusion
both,50049804,yes,yes,2020/11/5,,,13,A,0,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Scandinavian
sidewalk,50106169,yes,no,2020/9/16,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50102396,no,yes,2020/8/27,,,10,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Coffee/Tea
both,50086824,yes,yes,2020/9/26,,,7,A,Queens,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Bakery Products/Desserts
roadway,50087742,no,yes,2020/7/2,,,10,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Russian
both,50014122,yes,yes,2020/6/20,,,37,C,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Italian
openstreets,50043003,no,no,2020/7/16,,,9,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Korean
roadway,50079290,no,yes,2020/7/15,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Asian/Asian Fusion
both,40921137,yes,yes,2020/7/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41379322,yes,yes,2020/12/11,,,13,A,Queens,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Mexican
both,40375108,yes,yes,2020/6/19,,,7,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,41583460,yes,yes,2020/7/3,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50095141,yes,yes,2021/3/13,,,13,A,Manhattan,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Asian/Asian Fusion
sidewalk,50104901,yes,no,2020/7/7,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
openstreets,41547298,no,no,2020/8/6,,,10,A,Manhattan,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,American
sidewalk,50105752,yes,no,2020/9/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40989220,yes,yes,2020/7/17,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Southeast Asian
sidewalk,50092790,yes,no,2020/8/17,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50103790,no,yes,2021/3/12,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50084510,yes,yes,2020/8/30,,,5,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Chinese
both,41235437,yes,yes,2020/7/15,,,5,A,Manhattan,10C,Lighting Inadequate,Pizza
both,50106080,yes,yes,2020/9/27,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50006286,yes,yes,2020/7/1,,,12,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Spanish
both,50056280,yes,yes,2020/7/5,,,12,A,Staten Island,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Pizza
sidewalk,41611969,yes,no,2020/10/7,,,10,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Seafood
both,50091169,yes,yes,2020/7/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,41377952,no,yes,2020/7/3,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Indian
sidewalk,50064195,yes,no,2020/10/3,,,2,C,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Chinese
roadway,50081709,no,yes,2020/8/26,,,12,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Spanish
both,40365098,yes,yes,2020/7/21,,,8,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
sidewalk,50107074,yes,no,2021/1/18,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
openstreets,41106672,no,no,2020/8/14,,,12,A,Brooklyn,02B,Hot food item not held at or above 140º F.,Latin American
sidewalk,41569184,yes,no,2020/6/19,,,6,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",American
openstreets,50044483,no,no,2020/7/16,,,11,A,Manhattan,09C,Food contact surface not properly maintained.,French
both,50089994,yes,yes,2020/7/1,,,13,A,Queens,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
both,41579930,yes,yes,2020/6/19,,,24,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Italian
sidewalk,41100265,yes,no,2020/7/16,,,11,A,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
roadway,50069443,no,yes,2020/8/17,,,9,A,Manhattan,22G,Sale or use of certain expanded polystyrene items restricted,Seafood
both,50075411,yes,yes,2020/7/16,,,13,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Japanese
both,50068734,yes,yes,2020/7/20,,,7,A,Bronx,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Spanish
sidewalk,50106000,yes,no,2020/11/4,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41641957,yes,yes,2020/6/27,,,10,A,Queens,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",American
roadway,50003434,no,yes,2020/10/19,,,12,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
openstreets,50060161,no,no,2020/8/7,,,15,B,Manhattan,04M,Live roaches present in facility's food and/or non-food areas.,American
roadway,50043003,no,yes,2020/6/23,,,9,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Korean
both,50054438,yes,yes,2020/10/13,,,13,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Chinese
sidewalk,50044131,yes,no,2020/8/26,,,6,A,Brooklyn,10J,Hand wash sign not posted,Spanish
both,50047320,yes,yes,2020/8/25,,,13,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Sandwiches/Salads/Mixed Buffet
both,40576403,yes,yes,2020/7/20,,,12,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Mexican
sidewalk,50010873,yes,no,2020/6/28,,,10,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Indian
sidewalk,50089009,yes,no,2020/6/29,,,9,A,Manhattan,02B,Hot food item not held at or above 140º F.,Bagels/Pretzels
both,50035574,yes,yes,2020/10/7,,,12,A,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",American
both,50100408,yes,yes,2021/2/1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50100786,yes,yes,2020/10/15,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41605870,yes,no,2020/9/15,,,13,A,Bronx,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Eastern European
roadway,50010546,no,yes,2021/3/30,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",French
roadway,41223754,no,yes,2020/7/7,,,13,A,Manhattan,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Peruvian
roadway,50102980,no,yes,2020/12/9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50085211,no,yes,2020/10/27,,,7,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Tex-Mex
sidewalk,50102810,yes,no,2020/12/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50010387,yes,no,2020/10/5,,,8,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,40659165,yes,yes,2020/6/29,,,10,A,Queens,06F,Wiping cloths soiled or not stored in sanitizing solution.,American
both,50105684,yes,yes,2020/8/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105046,yes,yes,2020/10/8,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50042404,yes,yes,2020/8/30,,,8,A,Queens,06F,Wiping cloths soiled or not stored in sanitizing solution.,Thai
both,40368897,yes,yes,2020/6/26,,,5,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,Japanese
sidewalk,50084846,yes,no,2020/7/23,,,28,C,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Bakery Products/Desserts
both,40369461,yes,yes,2020/9/25,,,13,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",French
roadway,50106095,no,yes,2020/9/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40388619,yes,yes,2020/7/7,,,4,A,Manhattan,09C,Food contact surface not properly maintained.,Tex-Mex
